X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
1266513.97509019,247505.971320689,24,350026,0,350,1899 Grove @ Woodland Park Zoo,1899 Grove @ Woodland Park Zoo,5500 PHINNEY AVE N,98103,Seattle,(206) 545-2042,Seating 0-12,III, , , , ," 
"
1266549.79096344,241403.887068182,25,350027,0,350,19 Gold,19 Gold,3601 FREMONT AVE N STE 101,98103,Seattle,(206) 883-6870,Seating 13-50,III, , , , ," 
"
1285450.74102236,197654.034279361,26,350028,0,350,1St Union Store,1St Union Store,7729 RAINIER AVE S,98118,Seattle,(206) 721-1980,Grocery Store-no seating,I, , , , ," 
"
1263630.64293036,193631.384844348,27,350029,0,350,2 Fingers  Social,2 Fingers  Social,9211 DELRIDGE WAY SW,98106,Seattle,(702) 302-7083,Seating 13-50,III, , , , ," 
"
1316127.0648402,282906.967775777,28,350030,0,350,20 Corners Brewing Co.,20 Corners Brewing Co.,14148 NE 190TH ST,98072,Woodinville,(425) 375-5223,Seating 51-150,III, , , , ," 
"
1272449.97010794,235447.730673432,29,350031,0,350,20 Oz Tea,20 Oz Tea,1823 EASTLAKE AVE E 160,98102,Seattle,(206) 355-1491,Seating 13-50,III, , , , ," 
"
1308866.08986086,262802.913823858,30,350032,0,350,203 Degrees Fahrenheit Coffee,203 Degrees Fahrenheit Coffee,11901 NE VILLAGE PL STE 171,98034,Kirkland,(206) 227-4293,Seating 13-50,II, , , , ," 
"
1268929.98797469,244824.283442602,31,350033,0,350,206 Burger,206 Burger,1329 N 45TH ST STE 109,98103,Seattle,(206) 805-9222,Seating 13-50,III, , , , ," 
"
1272202.99291161,225736.222209349,32,350034,0,350,206 Burger Company,206 Burger Company,1000 MADISON ST,98104,Seattle,(206) 735-7069,Seating 13-50,III, , , , ," 
"
1314782.0360342,276438.52631636,33,350035,0,350,21 Acres Market,21 Acres Market,13701 NE 171ST ST,98072,Woodinville,(425) 481-1500,Seating 0-12,III, , , , ," 
"
1268799.40687102,228254.972421184,34,350036,0,350,2120,2120,2120 6TH AVE,98121,Seattle,(206) 829-8700,Seating 51-150,III, , , , ," 
"
1294902.2368831,153283.768033192,35,350037,0,350,212Th Chevron,212Th Chevron,8315 S 212TH ST,98032,Kent,(206) 283-4764,Seating 0-12,III, , , , ," 
"
1279246.36497968,225122.096797183,36,350038,0,350,23Rd & Cherry Fellowship Hall,23Rd & Cherry Fellowship Hall,2701 E CHERRY ST,98122,Seattle,(206) 325-4388,Seating 13-50,III, , , , ," 
"
1275103.3119141,184468.649889022,37,350039,0,350,24/7 Convenience Store,24/7 Convenience Store,11851 GLENDALE WAY S,98168,Seattle,(206) 841-6123,Grocery Store-no seating,I, , , , ," 
"
1270250.68513644,219615.527757853,38,350040,0,350,249 Sound Seafood,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,III, , , , ," 
"
1280714.00213628,265885.277409777,39,350041,0,350,2C Thaibistro & Spirits,2C Thaibistro & Spirits,12506 LAKE CITY WAY NE,98125,Seattle,(425) 786-7169,Seating 13-50,III, , , , ," 
"
1267431.62515777,227554.515816852,40,350042,0,350,2Nd Ave Grocery,2Nd Ave Grocery,2237 2ND AVE,98121,Seattle,(206) 306-5773,Grocery Store-no seating,I, , , , ," 
"
1280585.52995227,199992.612279356,41,350043,0,350,3 Little Sisters Filipino Deli,3 Little Sisters Filipino Deli,7054 32ND AVE S,98118,Seattle,(206) 430-4418,Mobile Food Unit,III, , , , ," 
"
1262819.39684944,204988.000254437,42,350044,0,350,312 Pizza Company,312 Pizza Company,5604 DELRIDGE WAY SW,98106,Seattle,(203) 339-3337,Caterer,III, , , , ," 
"
1270250.68513644,219615.527757853,43,350045,0,350,314 Incrediberrie'S,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
1262767.03114052,204985.87788336,44,350046,0,350,314 Pie,314 Pie,801 26TH AVE E,98112,Seattle,(512) 304-3590,Mobile Food Unit,III, , , , ," 
"
1270250.68513644,219615.527757853,45,350047,0,350,329 Big Cheese,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
1270250.68513644,219615.527757853,46,350048,0,350,331 Pop Corn,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
1270250.68513644,219615.527757853,47,350049,0,350,338 Boxscore Bar,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Mobile Food Unit,III, , , , ," 
"
1268538.51008311,241399.790291607,48,350050,0,350,36 Stone,36 Stone,3636 STONE WAY N,98103,Seattle,(425) 268-3211,Seating 51-150,III, , , , ," 
"
1268824.44291019,226884.71991235,49,350051,0,350,3Rd Ave Cafe,3Rd Ave Cafe,1908 3RD AVE,98101,Seattle,(206) 622-7778,Seating 13-50,III, , , , ," 
"
1278075.44606169,149354.197480276,50,350052,0,350,4 Points Sheraton Bistro Kitchen,4 Points Sheraton Bistro Kitchen,22406 PACIFIC HWY S,98198,Des Moines,,Seating 51-150,III, , , , ," 
"
1269035.49301302,164451.909082681,51,350053,0,350,401- Burien 76,401- Burien 76,18032 1ST AVE S,98148,Burien,(760) 518-8568,Grocery Store-no seating,I, , , , ," 
"
1304227.9488747,197287.216443434,52,350054,0,350,405 Express Mini Market,405 Express Mini Market,1800 NE 44TH ST,98056,Renton,(425) 647-9355,Grocery Store-no seating,I, , , , ," 
"
1271511.66588219,244795.498723269,53,350055,0,350,45 Stop-N-Go & Sushi Deli,45 Stop-N-Go & Sushi Deli,2323 N 45TH ST,98103,Seattle,(206) 678-2270,Seating 0-12,III, , , , ," 
"
1269466.87502427,229151.874826849,54,350056,0,350,45Th Poke Bar,45Th Poke Bar,2121 TERRY AVE #104,98121,Seattle,(206) 678-2270,Seating 13-50,II, , , , ," 
"
1270530.23608652,244794.352400109,55,350057,0,350,4649 Restaurant,4649 Restaurant,1913 N 45TH ST,98103,Seattle,(206) 547-4649,Seating 13-50,III, , , , ," 
"
1263102.51701811,244177.060983777,56,350058,0,350,4B'S Tavern,4B'S Tavern,4300 LEARY WAY NW,98107,Seattle,(425) 442-1329,Seating 51-150,III, , , , ," 
"
1273338.42403969,259960.177711442,57,350059,0,350,5 Guys Seattle Burgers,5 Guys Seattle Burgers,311 NE 103rd ST,98125,Seattle,(801) 859-4448,Seating 13-50,III, , , , ," 
"
1302762.7841541,165332.326941267,58,350060,0,350,5 Hermanos Mexican Restaurant,5 Hermanos Mexican Restaurant,10705 SE CARR RD,98055,Renton,(206) 419-4646,Seating 151-250,III, , , , ," 
"
1316969.44799794,216751.11616385,59,350061,0,350,5 Stones Coffee Co,5 Stones Coffee Co,2649 LANDERHOLM CIR SE,98007,Bellevue,(425) 502-8642,Seating 13-50,III, , , , ," 
"
1271691.24295086,221821.982006356,60,350062,0,350,505 Dimples Gift & Sundries,505 Dimples Gift & Sundries,505 5TH AVE S 190,98104,Seattle,(206) 643-0421,Grocery Store-no seating,I, , , , ," 
"
1345487.10290478,134217.381625354,61,350063,0,350,516 Bar & Grill,516 Bar & Grill,23846 SE KENT KANGLEY RD #E-11,98038,Maple Valley,(455) 433-7199,Seating 151-250,III, , , , ," 
"
1302238.76092394,225665.672809765,62,350064,0,350,520 Bar & Grill,520 Bar & Grill,10146 MAIN ST,98004,Bellevue,(425) 454-4141,Seating 13-50,III, , , , ," 
"
1265287.91192552,230778.170458764,63,350065,0,350,550 Level W Bar,Arena At Seattle Center,334 1ST AVE N,98109,Seattle,(206) 437-1240,Seating 0-12,III, , , , ," 
"
1271071.67201152,247447.740466014,64,350066,0,350,56Th Street Market,56Th Street Market,2201 N 56TH ST,98103,Seattle,(206) 402-3699,Grocery Store-no seating,I, , , , ," 
"
1272883.17987144,250075.64826794,65,350067,0,350,65Th St Cafe & Restaurant,65Th St Cafe & Restaurant,301 NE 65TH ST,98115,Seattle,(206) 522-5585,Seating 13-50,III, , , , ," 
"
1272529.06410986,221469.668406516,66,350068,0,350,663 Bistro,663 Bistro,663 S WELLER ST,98104,Seattle,(206) 349-2544,Seating 51-150,III, , , , ," 
"
1275714.25098094,185215.384287938,67,350069,0,350,7- Eleven #23931F,7- Eleven #23931F,11657 DES MOINES MEMORIAL DR S,98168,Seattle,,Seating 0-12,III, , , , ," 
"
1291017.45003328,164123.770959437,68,350070,0,350,7-Eleven - 34144B,7-Eleven - 34144B,18012 68TH AVE S,98032,Kent,(425) 251-3934,Seating 0-12,III, , , , ," 
"
1294284.61803961,115464.076940432,69,350071,0,350,7-Eleven # 38940,7-Eleven # 38940,15 AUBURN AVE,98002,Auburn,(403) 977-3551,Seating 0-12,III, , , , ," 
"
1264443.9808706,198508.783226028,70,350072,0,350,7-Eleven #14470B,7-Eleven #14470B,1600 SW HOLDEN ST,98106,Seattle,(206) 763-1415,Seating 0-12,III, , , , ," 
"
1278300.93215927,147318.974844694,71,350073,0,350,7-Eleven #14476F,7-Eleven Store #14476F,2904 S KENT DES MOINES RD,98198,Des Moines,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1279466.05810986,165995.00179702,72,350074,0,350,7-Eleven #15525E,7-Eleven #15525E,3120 S 176TH ST,98188,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
1257427.47587478,249578.887450442,73,350075,0,350,7-Eleven #16365L,7-Eleven #16365L,6111 24TH AVE NW,98107,Seattle,,Seating 0-12,III, , , , ," 
"
1256793.80096102,207707.799932942,74,350076,0,350,7-Eleven #16547P,7-Eleven #16547P,4812 ERSKINE WAY SW,98116,Seattle,(253) 796-7151,Seating 0-12,III, , , , ," 
"
1268301.27105628,252648.951848358,75,350077,0,350,7-Eleven #19042G,7-Eleven #19042G,7314 AURORA AVE N,98103,Seattle,(206) 522-7066,Seating 0-12,III, , , , ," 
"
1289996.80410869,144401.687044099,76,350078,0,350,7-Eleven #22671B,7-Eleven #22671B,711 WASHINGTON AVE N,98032,Kent,(253) 852-5554,Seating 0-12,III, , , , ," 
"
1302016.41294344,265844.335562527,77,350079,0,350,7-Eleven #2360-27304B,7-Eleven #2360-27304B,13335 100TH AVE NE,98034,Kirkland,(425) 402-1355,Seating 0-12,III, , , , ," 
"
1276196.04890186,265831.970101684,78,350080,0,350,7-Eleven #23895D,7-Eleven #23895D,12355 15TH AVE NE,98125,Seattle,(206) 363-9454,Seating 0-12,III, , , , ," 
"
1305200.30913469,270477.657660693,79,350081,0,350,7-Eleven #23930C,7-Eleven #23930C,14501 JUANITA WOODINVILLE WAY NE,98011,Bothell,(425) 268-8450,Seating 0-12,III, , , , ," 
"
1276394.3388596,128838.079391852,80,350082,0,350,7-Eleven #26268D,7-Eleven #26268D,28719 MILITARY RD S,98003,Federal Way,(206) 725-8421,Seating 0-12,III, , , , ," 
"
1291301.59086919,170204.874282777,81,350083,0,350,7-Eleven #27030B,7-Eleven #27030B,680 STRANDER BL,98188,Tukwila,(425) 228-8000,Seating 0-12,III, , , , ," 
"
1296296.08186445,122281.332990944,82,350084,0,350,7-Eleven #27219C,7-Eleven #27219C,2202 AUBURN WAY N,98002,Auburn,(850) 577-9090,Seating 0-12,III, , , , ," 
"
1278375.56094703,157517.408187941,83,350085,0,350,7-Eleven #27742B,7-Eleven #27742B,20008 PACIFIC HWY S,98198,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
1261676.02315193,245681.290914938,84,350086,0,350,7-Eleven #32945H,7-Eleven #32945H,999 NW LEARY WAY,98107,Seattle,(972) 828-6927,Seating 0-12,III, , , , ," 
"
1311232.73998319,181188.106909439,85,350087,0,350,7-Eleven #34636B,7-Eleven #34636B,4020 NE 4th ST #A,98056,Renton,(425) 430-7941,Seating 0-12,III, , , , ," 
"
1302865.6520586,165265.056734607,86,350088,0,350,7-Eleven #35056A,7-Eleven #35056A,17615 108TH AVE SE,98055,Renton,(877) 711-4422,Seating 0-12,III, , , , ," 
"
1294232.0000346,110318.553766936,87,350089,0,350,7-Eleven #35333B,7-Eleven #35333B,1602 A ST SE,98002,Auburn,(253) 939-6710,Seating 0-12,III, , , , ," 
"
1269862.74693593,228325.93159686,88,350090,0,350,7-Eleven #35532B,7-Eleven #35532B,819 VIRGINIA ST UNIT C-1,98101,Seattle,(206) 623-0413,Seating 0-12,III, , , , ," 
"
1270105.56206711,223391.0467816,89,350091,0,350,7-Eleven #35541B,7-Eleven #35541B,627 1ST AVE,98104,Seattle,(206) 467-5979,Seating 0-12,III, , , , ," 
"
1301430.11293495,144054.722514942,90,350092,0,350,7-Eleven #35675A,7-Eleven #35675A,24012 104th AVE SE,98030,Kent,(253) 854-2039,Seating 0-12,III, , , , ," 
"
1253685.8960876,118826.654860944,91,350093,0,350,7-Eleven #35872A,7-Eleven #35872A,4615 SW 320TH ST,98023,Federal Way,(604) 586-1507,Seating 0-12,III, , , , ," 
"
1270544.12286977,224178.980573192,92,350094,0,350,7-Eleven #37068A,7-Eleven #37068A,810 3RD AVE STE 820,98104,Seattle,(206) 682-2866,Seating 0-12,III, , , , ," 
"
1303062.74287178,225324.708596691,93,350095,0,350,7-Eleven #37558A,7-Eleven #37558A,100 BELLEVUE WAY SE,98004,Bellevue,(425) 343-4341,Seating 0-12,III, , , , ," 
"
1275054.2611592,245356.717417106,94,350096,0,350,7-Eleven #37755A,7-Eleven #37755A,1105 NE 47th ST,98105,Seattle,(972) 828-7656,Seating 0-12,III, , , , ," 
"
1294830.60087152,149257.30462943,95,350097,0,350,7-Eleven #38597A,7-Eleven #38597A,22422 83RD AVE S,98032,Kent,(206) 507-9531,Seating 0-12,III, , , , ," 
"
1307485.24190077,120723.225870937,96,350098,0,350,7-Eleven #38700 A,7-Eleven #38700 A,12400 SE 312TH ST,98092,Auburn,(206) 403-5764,Seating 0-12,III, , , , ," 
"
1350276.91189469,77659.054453522,97,350099,0,350,7-Eleven #38805A,7-Eleven #38805A,2415 GRIFFIN AVE,98022,Enumclaw,(850) 577-9090,Seating 0-12,III, , , , ," 
"
1300862.4729941,144117.464187354,98,350100,0,350,7-Eleven #38806A,7-Eleven #38806A,10255 SE 240TH ST,98031,Kent,(206) 271-7503,Seating 0-12,III, , , , ," 
"
1302687.06809819,154812.469044015,99,350101,0,350,7-Eleven #38807A,7-Eleven #38807A,20727 108TH AVE SE,98031,Kent,(253) 285-6878,Seating 0-12,III, , , , ," 
"
1295046.24414103,147273.918832436,100,350102,0,350,7-Eleven #39639A,7-Eleven #39639A,1208 CENTRAL AVE N,98032,Kent,(206) 841-3355,Seating 0-12,III, , , , ," 
"
1280805.76409186,118449.903317854,101,350103,0,350,7-Eleven #39836A,7-Eleven #39836A,31980 MILITARY RD S,98001,Auburn,(253) 839-0101,Seating 0-12,III, , , , ," 
"
1271110.71294394,228732.107621774,102,350104,0,350,7-Eleven #41883A,7-Eleven #41883A,1830 MINOR AVE,98101,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
1295982.78688736,120184.87721011,103,350105,0,350,7-Eleven #42046H,7-Eleven #42046H,1501 AUBURN WAY N,98002,Auburn,(253) 326-0603,Seating 0-12,III, , , , ," 
"
1271891.27207837,109460.131271183,104,350106,0,350,7-Eleven #42048H,7-Eleven #42048H,34727 PACIFIC HWY S,98003,Federal Way,(206) 231-9101,Seating 0-12,III, , , , ," 
"
1257055.46710436,215930.960323855,105,350107,0,350,7-Eleven 14436,7-Eleven 14436E,4312 SW ADMIRAL WAY SW,98116,Seattle,(425) 271-5030,Seating 0-12,III, , , , ," 
"
1323193.52905369,249576.729318276,106,350108,0,350,7-Eleven 2360-14402D,7-Eleven Store #2360-14402D,8316 164TH AVE NE,98052,Redmond,(425) 885-5676,Seating 0-12,III, , , , ," 
"
1315766.95598036,277862.583179519,107,350109,0,350,7-Eleven 2360-21833J,7-Eleven Store #2360-21833C,13923 NE 175TH ST,98072,Woodinville,(206) 276-0226,Seating 0-12,III, , , , ," 
"
1278506.36810011,161215.910961524,108,350110,0,350,7-Eleven Store -2361 26818F,7-Eleven Store -2361 26818F,19023 PACIFIC HWY S,98188,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1305641.66816011,167856.799254522,109,350111,0,350,7-Eleven Store #14441A,7-Eleven Store #14441A,11505 SE 168TH ST,98055,Renton,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1269270.47909161,282163.847214773,110,350112,0,350,7-Eleven Store #17257B,7-Eleven Store #17257B,1232 N 185TH ST,98133,Shoreline,(206) 546-3637,Seating 0-12,III, , , , ," 
"
1287472.96991752,177179.84819369,111,350113,0,350,7-Eleven Store #17438J,7-Eleven Store #17438J,14057 INTERURBAN AVE S,98168,Seattle,,Seating 0-12,III, , , , ," 
"
1276506.1299746,277757.995462194,112,350114,0,350,7-Eleven Store #22625D,7-Eleven Store #22625D,16920 15TH AVE NE,98155,Shoreline,(206) 362-1514,Seating 0-12,III, , , , ," 
"
1288169.98099069,181188.964519277,113,350115,0,350,7-Eleven Store #23525F,7-Eleven Store #23525F,12848 M L KING JR WAY S,98178,Seattle,(206) 772-3112,Seating 0-12,III, , , , ," 
"
1275048.93308586,257309.397908017,114,350116,0,350,7-Eleven Store #2360-14355G,7-Eleven Store #2360-14355G,9126 ROOSEVELT WAY NE,98115,Seattle,(206) 522-6231,Seating 0-12,III, , , , ," 
"
1254750.22302718,247486.418210194,115,350117,0,350,7-Eleven Store #2360-14360A,7-Eleven Store #2360-14360A,3200 NW 54TH ST,98107,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1276814.87509203,254794.636205271,116,350118,0,350,7-Eleven Store #2360-14373C,7-Eleven Store #2360-14373C,8250 LAKE CITY WAY NE,98115,Seattle,(206) 522-2711,Seating 0-12,III, , , , ," 
"
1264803.25607069,240522.661796525,117,350119,0,350,7-Eleven Store #2360-14392B,7-Eleven Store #2360-14392B,9 NICKERSON ST,98109,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1302501.29714428,192203.590127766,118,350120,0,350,7-Eleven Store #2360-14408F,7-Eleven Store #2360-14408F,1308 N 30TH ST,98056,Renton,(425) 283-3212,Seating 0-12,III, , , , ," 
"
1320000.16208085,233301.075517938,119,350121,0,350,7-Eleven Store #2360-14418A,7-Eleven Store #2360-14418A,15521 NE BELLEVUE REDMOND RD,98007,Bellevue,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1317262.44905236,225286.089579433,120,350122,0,350,7-Eleven Store #2360-17355E,7-Eleven Store #2360-17355E,15 148TH AVE NE,98007,Bellevue,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1268394.24987294,242610.578880519,121,350123,0,350,7-Eleven Store #2360-18553D,7-Eleven Store #2360-18553D,3939 STONE WAY N,98103,Seattle,(425) 771-5458,Seating 0-12,III, , , , ," 
"
1317785.13895185,241490.580792442,122,350124,0,350,7-Eleven Store #2360-19338D,7-Eleven Store #2360-19338D,5040 148TH AVE NE,98052,Redmond,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1310274.4328447,269548.396067768,123,350125,0,350,7-Eleven Store #2360-19911D,7-Eleven Store #2360-19911D,14340 124TH AVE NE,98034,Kirkland,,Seating 0-12,III, , , , ," 
"
1266562.88805011,229384.363207027,124,350126,0,350,7-Eleven Store #2360-23109D,7-Eleven Store #2360-23109D,362 DENNY WAY,98109,Seattle,(425) 397-7143,Seating 0-12,III, , , , ," 
"
1277495.55089602,216934.919602022,125,350127,0,350,7-Eleven Store #2360-24497C,7-Eleven Store #2360-24497C,2009 RAINIER AVE S,98144,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1259707.68686552,247832.786940023,126,350128,0,350,7-Eleven Store #2360-25525D,7-Eleven Store #2360-25525D,1550 NW MARKET ST,98107,Seattle,,Seating 0-12,III, , , , ," 
"
1265868.22506936,266310.293948188,127,350129,0,350,7-Eleven Store #2360-26055B,7-Eleven Store #2360-26055B,300 N 125TH ST,98133,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1265350.23004235,241826.461354271,128,350130,0,350,7-Eleven Store #2360-26544C,7-Eleven Store #2360-26544C,304 N 36TH ST,98103,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1280366.53695194,175831.379762024,129,350131,0,350,7-Eleven Store #2361-14443D,7-Eleven Store #2361-14443D,14462 34TH AVE S,98168,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1263299.67115135,194066.224525854,130,350132,0,350,7-Eleven Store #2361-14463E,7-Eleven Store #2361-14463E,9041 DELRIDGE WAY SW,98106,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1310319.11910702,143852.91812852,131,350133,0,350,7-Eleven Store #2361-20188E,7-Eleven Store #2361-20188E,13131 SE 240TH ST,98031,Kent,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1281707.10415269,176971.79381977,132,350134,0,350,7-Eleven Store #2361-22866C,7-Eleven Store #2361-22866C,14207 PACIFIC HWY S,98168,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1296194.34715977,127309.520769194,133,350135,0,350,7-Eleven Store #2361-22984E,7-Eleven Store #2361-22984E,3702 AUBURN WAY N,98002,Auburn,(253) 796-7151,Seating 0-12,III, , , , ," 
"
1273418.89992861,121754.065344691,134,350136,0,350,7-Eleven Store #2361-23228C,7-Eleven Store #2361-23228C,31006 PACIFIC HWY S,98003,Federal Way,(253) 796-7151,Seating 0-12,III, , , , ," 
"
1256866.45993644,211776.020142943,135,350137,0,350,7-Eleven Store #2361-24404B,7-Eleven Store #2361-24404B,3801 CALIFORNIA AVE SW,98116,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1271392.53094986,148424.433591768,136,350138,0,350,7-Eleven Store #2361-27283C,7-Eleven Store #2361-27283C,820 KENT DES MOINES RD,98198,Des Moines,(253) 796-7155,Seating 0-12,III, , , , ," 
"
1294114.84902219,102432.978658855,137,350139,0,350,7-Eleven Store #23938E,7-Eleven Store #23938E,4026 A ST SE,98002,Auburn,(253) 850-0326,Seating 0-12,III, , , , ," 
"
1303966.28994919,181115.247147024,138,350140,0,350,7-Eleven Store #24410B,7-Eleven Store #24410B,404 SUNSET BL N,98057,Renton,(972) 828-7656,Seating 0-12,III, , , , ," 
"
1294172.30986528,140886.534297526,139,350141,0,350,7-Eleven Store #25303D,7-Eleven Store #25303D,511 S CENTRAL AVE,98032,Kent,(253) 796-7151,Seating 0-12,III, , , , ," 
"
1271101.54301478,262229.137412354,140,350142,0,350,7-Eleven Store #27901G,7-Eleven Store #27901G,2100 N NORTHGATE WAY,98133,Seattle,(206) 351-1936,Seating 0-12,III, , , , ," 
"
